instances,provider_id,workload,vm_type,percentile,cpubusy.my_quantile,%_mem.my_quantile
1,c3_2xlarge,100,wordpress,305,41.004,21.7078793844
2,c3_2xlarge,100,wordpress,248,16.112,20.4037310282
3,c3_2xlarge,100,wordpress,256,10.4,19.3639450073
4,c3_2xlarge,100,wordpress,263,7.518,18.771996816
1,c3_2xlarge,200,wordpress,1626.7,95.377,22.4035002391
2,c3_2xlarge,200,wordpress,2155,38.252,21.0468648275
3,c3_2xlarge,200,wordpress,2594,22.359,20.2626094818
4,c3_2xlarge,200,wordpress,1767,14.88,19.6758715312
1,c3_2xlarge,300,wordpress,4769,99.766,22.9038658142
2,c3_2xlarge,300,wordpress,5760,62.54,21.5212402344
3,c3_2xlarge,300,wordpress,5725.4,34.748,20.9015312195
4,c3_2xlarge,300,wordpress,5440.7,22.897,20.8716271718
1,c3_2xlarge,400,wordpress,8737.6,100,23.2111008962
2,c3_2xlarge,400,wordpress,8981.9,66.136,22.0231513977
3,c3_2xlarge,400,wordpress,9423,39.386,21.1393725077
4,c3_2xlarge,400,wordpress,8789.4,26.2,20.7437725067
1,c3_2xlarge,500,wordpress,12049.4,100,23.6371078491
2,c3_2xlarge,500,wordpress,12373,61.48,22.0204607646
3,c3_2xlarge,500,wordpress,12714.2,37.8,21.2736028035
4,c3_2xlarge,500,wordpress,9549.8,24.298,20.9099477132
1,c3_2xlarge,600,wordpress,15845.6,100,24.053106308
2,c3_2xlarge,600,wordpress,15195.1,66.298,22.5509986877
3,c3_2xlarge,600,wordpress,15913.6,37.236,21.6597290039
4,c3_2xlarge,600,wordpress,13142,25.88,20.7384204865
1,c3_2xlarge,700,wordpress,18838,100,25.4236952464
2,c3_2xlarge,700,wordpress,18761.6,66.667,22.5315704346
3,c3_2xlarge,700,wordpress,19210.4,35.128,21.7850119273
4,c3_2xlarge,700,wordpress,18327.8,24.3,21.0423901876
1,c3_2xlarge,800,wordpress,22397.4,100,29.4017575582
2,c3_2xlarge,800,wordpress,22162,61.461,22.9217561086
3,c3_2xlarge,800,wordpress,23320,34.792,21.7070337931
4,c3_2xlarge,800,wordpress,22392.6,23.046,21.1841430664
1,c3_2xlarge,900,wordpress,25831.5,100,31.5728505452
2,c3_2xlarge,900,wordpress,24662,59.306,22.9066378276
3,c3_2xlarge,900,wordpress,25809.2,34.083,22.0577945709
4,c3_2xlarge,900,wordpress,25572.9,24.032,21.1580111186
1,c3_2xlarge,1000,wordpress,28908.1,100,32.0756123861
2,c3_2xlarge,1000,wordpress,28663.7,58.132,22.9179674784
3,c3_2xlarge,1000,wordpress,29341.1,37.343,22.0818462372
4,c3_2xlarge,1000,wordpress,29390,24.742,21.5070603689
1,c3_large,100,wordpress,4853.6,100,25.6196848551
2,c3_large,100,wordpress,809,95.301,24.507484436
3,c3_large,100,wordpress,381.7,62.278,22.6235656738
4,c3_large,100,wordpress,324,44.062,22.7918650309
1,c3_large,200,wordpress,13256.3,100,37.9345703125
2,c3_large,200,wordpress,5066,100,25.7764256795
3,c3_large,200,wordpress,2179.2,100,23.9752349854
4,c3_large,200,wordpress,1789,92.598,23.6824595133
1,c3_large,300,wordpress,22216.1,100,52.9676361084
2,c3_large,300,wordpress,9185,100,31.9396209717
3,c3_large,300,wordpress,5294.6,100,24.8831303914
4,c3_large,300,wordpress,5546.9,100,23.9166030884
1,c3_large,400,wordpress,30316.6,100,53.228805542
2,c3_large,400,wordpress,13542.1,100,39.0390777588
3,c3_large,400,wordpress,8028,100,28.8212458293
4,c3_large,400,wordpress,9342.4,100,25.8062998454
1,c3_large,500,wordpress,41966.6,100,55.1111628215
2,c3_large,500,wordpress,17935,100,46.1261749268
3,c3_large,500,wordpress,11014,100,33.8227081299
4,c3_large,500,wordpress,12860.9,100,29.360555013
1,c3_large,600,wordpress,62938.8,100,54.3914031982
2,c3_large,600,wordpress,22526,100,53.8004455566
3,c3_large,600,wordpress,13980,100,38.8335673014
4,c3_large,600,wordpress,16287,100,32.6272837321
1,c3_large,700,wordpress,80253.1,100,59.5576222738
2,c3_large,700,wordpress,26726,100,54.5055796305
3,c3_large,700,wordpress,16947,100,43.4897969564
4,c3_large,700,wordpress,19076,100,36.1111704508
1,c3_large,800,wordpress,91108,100,55.7802378337
2,c3_large,800,wordpress,30805,100,55.3324737549
3,c3_large,800,wordpress,20232.8,100,48.5790201823
4,c3_large,800,wordpress,23101,100,39.6360143026
1,c3_large,900,wordpress,97896,100,59.1352183024
2,c3_large,900,wordpress,35757.6,100,55.935295105
3,c3_large,900,wordpress,23174.7,100,53.3390045166
4,c3_large,900,wordpress,26348.8,100,43.2620112101
1,c3_large,1000,wordpress,104986,100,65.7523193359
2,c3_large,1000,wordpress,55527.4,100,56.5074412028
3,c3_large,1000,wordpress,26096,100,54.4580001831
4,c3_large,1000,wordpress,28961.1,100,46.6411056519
1,c3_xlarge,100,wordpress,757,92.632,28.0276972453
2,c3_xlarge,100,wordpress,301,39.716,26.6597531637
3,c3_xlarge,100,wordpress,283,23.436,25.5684127808
4,c3_xlarge,100,wordpress,281,17.251,24.3541933695
1,c3_xlarge,200,wordpress,5305,100,28.6056264242
2,c3_xlarge,200,wordpress,2359.6,92.414,27.4901860555
3,c3_xlarge,200,wordpress,2220,56.98,26.6936556498
4,c3_xlarge,200,wordpress,2642,39.72,25.9432983398
1,c3_xlarge,300,wordpress,10095.1,100,29.5104853312
2,c3_xlarge,300,wordpress,5592,99.83,27.996055603
3,c3_xlarge,300,wordpress,5326,88.452,27.2851867676
4,c3_xlarge,300,wordpress,6016,62.16,26.5389874776
1,c3_xlarge,400,wordpress,14395,100,31.5080947876
2,c3_xlarge,400,wordpress,8832.3,100,28.5538101196
3,c3_xlarge,400,wordpress,8885,97.91,27.7572822571
4,c3_xlarge,400,wordpress,9700,68.458,27.0144551595
1,c3_xlarge,500,wordpress,18789,100,38.6257171631
2,c3_xlarge,500,wordpress,12397.8,100,28.933245341
3,c3_xlarge,500,wordpress,12381,96.284,28.0898831685
4,c3_xlarge,500,wordpress,13099.1,67.2,27.3767140706
1,c3_xlarge,600,wordpress,22952.2,100,44.0436490377
2,c3_xlarge,600,wordpress,15750.2,100,29.6811803182
3,c3_xlarge,600,wordpress,15139,95.441,28.2014300028
4,c3_xlarge,600,wordpress,17049,66.414,27.5440444946
1,c3_xlarge,700,wordpress,27477.7,100,44.6287104289
2,c3_xlarge,700,wordpress,19038.1,100,30.191666921
3,c3_xlarge,700,wordpress,19125.4,93.843,28.6548283895
4,c3_xlarge,700,wordpress,19453.4,65.306,27.6684544881
1,c3_xlarge,800,wordpress,33047,100,44.6907526652
2,c3_xlarge,800,wordpress,21570,100,33.0488154093
3,c3_xlarge,800,wordpress,22448.5,91.292,28.9980061849
4,c3_xlarge,800,wordpress,23287,57.978,28.1687316895
1,c3_xlarge,900,wordpress,41173.4,100,44.8415578206
2,c3_xlarge,900,wordpress,20065,100,38.3713582357
3,c3_xlarge,900,wordpress,26941,87.47,29.0563964844
4,c3_xlarge,900,wordpress,26217.6,59.393,28.3302752177
1,c3_xlarge,1000,wordpress,48769,100,44.8783925374
2,c3_xlarge,1000,wordpress,25403.4,100,41.9175033569
3,c3_xlarge,1000,wordpress,32647,79.512,29.6227645874
4,c3_xlarge,1000,wordpress,30240.2,61.77,28.2945505778
1,m3_2xlarge,100,wordpress,287,42.388,14.6454105377
2,m3_2xlarge,100,wordpress,264,17.079,13.6964963277
3,m3_2xlarge,100,wordpress,261,10.86,13.161828359
4,m3_2xlarge,100,wordpress,268,7.825,12.6428867976
1,m3_2xlarge,200,wordpress,1848,95.164,14.986231486
2,m3_2xlarge,200,wordpress,2632.4,40.62,14.2296346029
3,m3_2xlarge,200,wordpress,2185,24.112,13.9160722097
4,m3_2xlarge,200,wordpress,1570.1,16.478,13.3480262756
1,m3_2xlarge,300,wordpress,4683.4,99.83,15.3580681483
2,m3_2xlarge,300,wordpress,5838.4,67.298,14.6580206553
3,m3_2xlarge,300,wordpress,5131.5,39.268,14.2165145874
4,m3_2xlarge,300,wordpress,3572.5,25.996,14.0334997177
1,m3_2xlarge,400,wordpress,6778.2,100,15.5878785451
2,m3_2xlarge,400,wordpress,9403,70.66,14.8822307587
3,m3_2xlarge,400,wordpress,8473.4,38.668,14.3957780202
4,m3_2xlarge,400,wordpress,7551.5,27.362,13.8775304159
1,m3_2xlarge,500,wordpress,12104,100,15.6996949514
2,m3_2xlarge,500,wordpress,12830.8,66.79,15.024989446
3,m3_2xlarge,500,wordpress,11989.7,37.646,14.3427613576
4,m3_2xlarge,500,wordpress,11846,27.332,14.0734666189
1,m3_2xlarge,600,wordpress,15527.8,100,16.0749740601
2,m3_2xlarge,600,wordpress,15832.6,70.92,15.0239022573
3,m3_2xlarge,600,wordpress,14476,38.496,14.5725510915
4,m3_2xlarge,600,wordpress,14807.1,27.74,14.1972605387
1,m3_2xlarge,700,wordpress,18830,100,19.2656977971
2,m3_2xlarge,700,wordpress,19055.4,70.07,15.2032670975
3,m3_2xlarge,700,wordpress,18824.5,39.606,14.6637566884
4,m3_2xlarge,700,wordpress,18842.4,28.121,14.1554025014
1,m3_2xlarge,800,wordpress,21912,100,16.9451840719
2,m3_2xlarge,800,wordpress,23465.8,63.941,15.2276290258
3,m3_2xlarge,800,wordpress,22243.7,35.35,14.5886611938
4,m3_2xlarge,800,wordpress,21648,26.81,14.2463938395
1,m3_2xlarge,900,wordpress,24929.9,100,17.2911485036
2,m3_2xlarge,900,wordpress,25098,59.656,15.3054116567
3,m3_2xlarge,900,wordpress,25739,36.241,14.6382509867
4,m3_2xlarge,900,wordpress,25048.4,26.406,14.198273023
1,m3_2xlarge,1000,wordpress,28458.6,100,19.0792853038
2,m3_2xlarge,1000,wordpress,29254.8,59.543,15.4677594503
3,m3_2xlarge,1000,wordpress,29097,37.011,14.7065575918
4,m3_2xlarge,1000,wordpress,20264.2,27.32,14.3277629217
1,m3_large,100,wordpress,5458,100,26.97996521
2,m3_large,100,wordpress,978,97.34,26.0030237834
3,m3_large,100,wordpress,400,65.92,25.1467285156
4,m3_large,100,wordpress,335,46.236,24.1375630697
1,m3_large,200,wordpress,14303,100,27.8309199015
2,m3_large,200,wordpress,5472,100,26.9043858846
3,m3_large,200,wordpress,2355,100,26.314201355
4,m3_large,200,wordpress,1674.9,96.819,25.9780069987
1,m3_large,300,wordpress,23463.8,100,28.486366272
2,m3_large,300,wordpress,9995.5,100,27.2196833293
3,m3_large,300,wordpress,5445,100,26.6973355611
4,m3_large,300,wordpress,5267,100,26.4548212687
1,m3_large,400,wordpress,34169.6,100,34.6004104614
2,m3_large,400,wordpress,14561,100,28.0737431844
3,m3_large,400,wordpress,8374,100,27.3787206014
4,m3_large,400,wordpress,8452.2,100,26.8638483683
1,m3_large,500,wordpress,43098.4,100,42.0765482585
2,m3_large,500,wordpress,19139,100,28.2811355591
